Timestamp,num_ues,IMSI,RNTI,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,dl_pmi,dl_ri,ul_n,ul_turbo_iters
6,2,IMSI_22,28472,True,eMBB,14,1.0,QoS-PFS,17,,,10.643382352941176,,,10,,,,,,,-101.95016512575451,,,,15,,,,
7,6,IMSI_0,43851,True,mMTC,0,1.0,QoS-PFS,-1,,,0.0,,,0,,,,,,,,,,,207,,,,
7,5,IMSI_1,16810,True,URLLC,3,1.0,QoS-PFS,11,,,1.3767069327731092,,,7,,,,,,,-104.02543063058195,,,,64,,,,
7,5,IMSI_2,9638,True,eMBB,41,1.0,QoS-PFS,5,,,10.174632352941176,,,4,,,,,,,-110.38831398366929,,,,64,,,,
7,3,IMSI_3,4613,True,URLLC,5,1.0,QoS-PFS,5,,,1.240808823529412,,,4,,,,,,,-114.62343361066723,,,,10,,,,
7,5,IMSI_4,21792,True,URLLC,16,1.0,QoS-PFS,1,,,1.013655462184874,,,2,,,,,,,-109.87055166982802,,,,64,,,,
7,5,IMSI_5,51100,True,eMBB,18,1.0,QoS-PFS,13,,,10.050551470588236,,,8,,,,,,,-100.89223851496848,,,,216,,,,
7,3,IMSI_6,31959,True,mMTC,1,1.0,QoS-PFS,7,,,0.32169117647058826,,,5,,,,,,,-111.55044078913994,,,,45,,,,
7,5,IMSI_7,37851,True,mMTC,1,1.0,QoS-PFS,9,,,0.40441176470588236,,,6,,,,,,,-105.93351455258093,,,,216,,,,
7,3,IMSI_8,20757,True,eMBB,41,1.0,QoS-PFS,5,,,10.174632352941176,,,4,,,,,,,-113.50552706334904,,,,45,,,,
7,6,IMSI_9,26211,True,eMBB,68,1.0,QoS-PFS,3,,,10.022321428571429,,,3,,,,,,,-108.14903540169567,,,,207,,,,
7,2,IMSI_10,20626,True,mMTC,1,1.0,QoS-PFS,17,,,0.7602415966386554,,,10,,,,,,,-101.72366336272164,,,,17,,,,
7,6,IMSI_11,14681,True,eMBB,25,1.0,QoS-PFS,9,,,10.11029411764706,,,6,,,,,,,-103.71988559210024,,,,207,,,,
7,6,IMSI_12,54752,True,eMBB,32,1.0,QoS-PFS,7,,,10.294117647058824,,,5,,,,,,,-103.47410454519769,,,,207,,,,
7,3,IMSI_13,56369,True,mMTC,1,1.0,QoS-PFS,27,,,1.2447478991596639,,,15,,,,,,,-90.91119028134933,,,,10,,,,
7,5,IMSI_14,14324,True,eMBB,22,1.0,QoS-PFS,11,,,10.095850840336135,,,7,,,,,,,-103.92470334653976,,,,216,,,,
7,2,IMSI_15,12412,True,URLLC,26,1.0,QoS-PFS,0,,,1.0241596638655461,,,1,,,,,,,-111.91352377456698,,,,48,,,,
7,3,IMSI_16,17090,True,URLLC,4,1.0,QoS-PFS,7,,,1.286764705882353,,,5,,,,,,,-110.77950592789955,,,,10,,,,
7,5,IMSI_17,26956,True,eMBB,22,1.0,QoS-PFS,11,,,10.095850840336135,,,7,,,,,,,-103.04277267345182,,,,216,,,,
7,5,IMSI_18,35045,True,eMBB,153,1.0,QoS-PFS,1,,,9.693080357142856,,,2,,,,,,,-108.74334759065025,,,,216,,,,
7,6,IMSI_19,50035,True,eMBB,14,1.0,QoS-PFS,17,,,10.643382352941176,,,10,,,,,,,-96.35670756966266,,,,207,,,,
7,3,IMSI_20,43579,True,URLLC,3,1.0,QoS-PFS,9,,,1.213235294117647,,,6,,,,,,,-110.28896991073805,,,,45,,,,
7,2,IMSI_21,40882,True,eMBB,22,1.0,QoS-PFS,11,,,10.095850840336135,,,7,,,,,,,-101.04459825818131,,,,48,,,,
7,2,IMSI_22,28472,True,eMBB,16,1.0,QoS-PFS,15,,,10.493697478991596,,,9,,,,,,,-103.42237656347216,,,,17,,,,
7,6,IMSI_23,19637,True,eMBB,68,1.0,QoS-PFS,3,,,10.022321428571429,,,3,,,,,,,-110.22553617956697,,,,207,,,,
7,5,IMSI_24,55262,True,URLLC,3,1.0,QoS-PFS,9,,,1.213235294117647,,,6,,,,,,,-102.12910646239206,,,,64,,,,
7,5,IMSI_25,21764,True,mMTC,1,1.0,QoS-PFS,17,,,0.7602415966386554,,,10,,,,,,,-98.83773495655922,,,,64,,,,
